Fecha,Evento,Hora,Categoria,Precio,Direccion,Ubicacion,Ciudad
16 abr,Woodbury Common Premium Outlets Shopping Tour,LU,,,66 North Sixth Street,Brooklyn,NY
16abr,New York Yankees vs. Miami Marlins,LU - Hora de inicio: 6:35 pm ," Béisbol, Deportes                                                            "," Desde $7,00",161st Street and River Avenue,Bronx,NY
16abr,New York Mets vs. Washington Nationals,LU - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $10,00",126th St. and Roosevelt Ave.,Queens,NY
16abr,NHL Eastern Conference Quarterfinals: New Jersey Devils vs. Tampa Bay Lightning - Home Game 1,LU - Hora de inicio: 7:30 pm ," Hóckey, Deportes                                                            "," Desde $93,00",Lafayette St At Mulberry St,Newark,NJ
17abr,New York Yankees vs. Miami Marlins,MA - Hora de inicio: 6:35 pm ," Béisbol, Deportes                                                            "," Desde $10,00",161st Street and River Avenue,Bronx,NY
17abr,New York Mets vs. Washington Nationals,MA - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $11,00",126th St. and Roosevelt Ave.,Queens,NY
18 - 29 abr,TriBeCa Film Festival,,,,126th St. and Roosevelt Ave.,Queens,NY
18abr,New York Mets vs. Washington Nationals,MI - Hora de inicio: 7:10 pm ," Béisbol, Deportes                                                            "," Desde $14,00",126th St. and Roosevelt Ave.,Queens,NY
18abr,NHL Eastern Conference Quarterfinals: New Jersey Devils vs. Tampa Bay Lightning - Home Game 2,MI - Hora de inicio: 7:30 pm ," Hóckey, Deportes                                                            "," Desde $104,00",Lafayette St At Mulberry St,Newark,NJ
18abr,Amateur Night At The Apollo: Special Edition Nothin But Dance,MI - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $50,00",253 West 125th Street,New York,NY
19abr,New York Yankees vs. Toronto Blue Jays,JU - Hora de inicio: 6:35 pm ," Béisbol, Deportes                                                            "," Desde $7,00",161st Street and River Avenue,Bronx,NY
19abr,Sebastian Maniscalco,JU - Hora de inicio: 8:00 pm ," Comedy, Conciertos                                                            "," Desde $92,00",1260 Avenue of the Americas,New York,NY
20 abr,"Intrepid Sea, Air, and Space Museum Overnight Experience",VI,,,1260 Avenue of the Americas,New York,NY
20abr,Sebastian Maniscalco,VI - Hora de inicio: 7:00 pm ," Comedy, Conciertos                                                            "," Desde $101,00",1260 Avenue of the Americas,New York,NY
20abr,New York Yankees vs. Toronto Blue Jays,VI - Hora de inicio: 7:05 pm ," Béisbol, Deportes                                                            "," Desde $8,00",161st Street and River Avenue,Bronx,NY
20abr,"LIT AF Tour: Martin Lawrence, Michael Blackson, DeRay Davis & Rickey Smiley",VI - Hora de inicio: 7:30 pm ," Comedy, Conciertos                                                            "," Desde $72,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
20abr,Sebastian Maniscalco,VI - Hora de inicio: 10:00 pm ," Comedy, Conciertos                                                            "," Desde $91,00",1260 Avenue of the Americas,New York,NY
21 abr,Vida nocturna,SA,,,1260 Avenue of the Americas,New York,NY
21abr,New York Yankees vs. Toronto Blue Jays,SA - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $18,00",161st Street and River Avenue,Bronx,NY
21abr,New York Red Bulls vs. Chicago Fire,SA - Hora de inicio: 3:30 pm ," Fútbol, Deportes                                                            "," Desde $20,00",6th Street and Cape May Street,Harrison,NJ
21abr,Premier Boxing Champions: Adrien Broner vs. Jessie Vargas,SA - Hora de inicio: 6:00 pm ," Boxeo, Deportes                                                            "," Desde $99,00",Atlantic Avenue and Flatbush Avenue,Brooklyn,NY
21abr,Sebastian Maniscalco,SA - Hora de inicio: 7:00 pm ," Comedy, Conciertos                                                            "," Desde $161,00",1260 Avenue of the Americas,New York,NY
21abr,Stars On Ice,SA - Hora de inicio: 7:30 pm ," Ice Skating, Deportes                                                            "," Desde $31,00",1255 Hempstead Turnpike,Uniondale,NY
21abr,International Championship of Collegiate A Cappella 2018 Finals,SA - Hora de inicio: 7:30 pm , Conciertos                                                            ," Desde $217,00",2124 Broadway,New York,NY
21abr,Sebastian Maniscalco,SA - Hora de inicio: 10:00 pm ," Comedy, Conciertos                                                            "," Desde $145,00",1260 Avenue of the Americas,New York,NY
22 abr,Un domingo de góspel,DO,,,1260 Avenue of the Americas,New York,NY
22 abr,Carrera/paseo de 5km 9/11 Memorial y Family Day,DO,,,1260 Avenue of the Americas,New York,NY
22abr,New York Yankees vs. Toronto Blue Jays,DO - Hora de inicio: 1:05 pm ," Béisbol, Deportes                                                            "," Desde $14,00",161st Street and River Avenue,Bronx,NY
23 abr,Woodbury Common Premium Outlets Shopping Tour,LU,,,161st Street and River Avenue,Bronx,NY
23abr,NHL Eastern Conference Quarterfinals: New Jersey Devils vs. Tampa Bay Lightning - Home Game 3 ( If Necessary),LU - Hora de inicio: ," Hóckey, Deportes                                                            "," Desde $105,00",Lafayette St At Mulberry St,Newark,NJ
23abr,New York Yankees vs. Minnesota Twins,LU - Hora de inicio: 6:35 pm ," Béisbol, Deportes                                                            "," Desde $14,00",161st Street and River Avenue,Bronx,NY
